Istituzioni scolastiche paritarie - scuole dell'infanzia di Roma e Provincia di Roma - a.s.2015/2016,,,,,,,
1,RM1A10400E,MARIA BAMBINA,AGOSTA,VIA CUPA 4,00020,economasosc@libero.it; sosc.segreteria@libero.it,0774/809326
2,RM1A11600R,"MARIA SS.ASSUNTA -PARR.S.FILIPPO NERI",ALBANO LAZIALE,VIA ITALIA 1,00040,scuolamaterna.msa@hotmail.it; sissi.cor@libero.it,tel e fax 06/9340352
3,RM1A150008,"FRATELLI CERVI -COMUNALE",ALBANO LAZIALE,VIA FRATELLI CERVI 24,00041,politiche.formative@comune.albanolaziale.rm.it,06/9320908-9321022
4,RM1A151004,"SUORE OBLATE DIGESU' E MARIA",ALBANO LAZIALE,VIA CELLOMAIO 41,00041,suoreoblate.albano@tiscali.it,06/9320176-93261293
5,RM1A064009,GUGLIELMO VEROLI,"ANTICOLICORRADO","VIA V.CARBONI,1",00022,economasosc@libero.it; suoreanticoli@hotmail.it; so,0774/809326
6,RM1A06100T,S. GIUSEPPE,ANZIO,V.LE S. GIUSEPPE 87,00040,teresiane@virgilio.it,06/9820293
7,RM1A55100G,MAESTRE PIE FILIPPINI,ANZIO,VIA PAOLINI 9,00042,scuolafilippinianzio@libero.it,06/9846200
8,RM1A63400P,STELLA MARIS,ANZIO,VIA ARDEATINA 91,00042,presidenza@linguisticoanzio.it,06/9878778-06/9878882
9,RM1A099008,AVE MARIA,ARDEA,"L.MARE DEGLIARDEATINI, 555",00040,"oasicelestinadonati@email.it;infanziaavemaria@libero.it",06/9133290-06/9133281
10,RM1A100007,"SILVESTROM.OCCHIPINTI",ARDEA,"V.LE PO, 33",00040,scuola-occhipinti@libero.it,06/91019877
11,RM1A553007,CARDINAL PIZZARDO,ARDEA,"P.ZZA SFORZACESARINI, 1",00040,scuolapizzardo@alice.it,06/9136829
12,RM1A01600X,VILLA MARIA LUISA,ARICCIA,VIA APPIA NUOVA 9,00040,villamarialuisa@libero.it,06/9330374
13,RM1A554003,BEATA ROSA VENERINI,ARICCIA,"VIA BEATA ROSAVENERINI 6",00040,venerini@venerini-ariccia.it,06/9330347-93392087
14,RM1A70500G,L'ARCOBALENO,ARICCIA,VIA M.E.LESBIO 1,00040,scuola_arcobaleno@tiscali.it,06/9331242
15,RM1A001006,DIVINO AMORE,BRACCIANO,VIA FLAVIA 2,00062,isdiab@libero.it,06/9987997
16,RM1AMV500Q,DE PASQUALETTI,BRACCIANO,"VIA DEI PASQUALETTIsnc",00062,"pubblicaistruzione@comune.bracciano.rm.it",06/99816279-06/99816352
17,RM1AFD500O,L'ARCOBALENA,BRACCIANO,"VIA OLMATA TRECANCELLI n.7/b",00062,arcobalenasilo@gmail.com,06/99803672
18,RM1AA6500T,FRANCESCO SERAFINI,"CAMERATANUOVA",VIA RENATO DI PAOLO 1,00020,"giulia.dicroce@tiscali.it;fziantoni@virgilio.it",fax 0774-924240 0774-935024
19,RM1A186003,LEONE XIII,"CARPINETOROMANO",VIA DANTE ALIGHIERI 1,00032,scuolaparitaria.rss@libero.it,06/97189010-06/9710053
20,RM1A55000Q,PIO XII,"CASTELGANDOLFO",VIA NETTUNENSE 96,00041,maternapio12@tiscali.it,06/9315885
